disaster,district,transformer,voltage_code,fault_time,restore_time
丹娜絲,嘉義區營業處,義竹,D,2025-07-07 08:31:00,2025-07-08 23:00:00
丹娜絲,嘉義區營業處,嘉埔,S,2025-07-07 07:20:00,2025-07-08 23:00:00
丹娜絲,嘉義區營業處,新塭,S,2025-07-07 01:37:00,2025-07-08 23:00:00
丹娜絲,嘉義區營業處,博愛,S,2025-07-07 07:56:00,2025-07-08 23:00:00
丹娜絲,嘉義區營業處,和睦,S,2025-07-07 08:15:00,2025-07-08 23:00:00
丹娜絲,嘉義區營業處,奮起,S,2025-07-07 07:19:00,2025-07-07 23:00:00
康芮,花蓮區營業處,立霧,G,2024-10-31 09:39:00,2024-10-31 17:00:00
康芮,花蓮區營業處,花港,S,2024-10-31 13:37:00,2024-10-31 23:00:00
康芮,花蓮區營業處,花蓮,P,2024-10-31 14:47:00,2024-10-31 23:00:00
康芮,花蓮區營業處,勝安,D,2024-10-31 14:52:00,2024-10-31 23:00:00
康芮,花蓮區營業處,富里,S,2024-10-31 13:58:00,2024-10-31 17:00:00
康芮,花蓮區營業處,富里,S,2024-10-31 16:03:00,2024-10-31 17:00:00
康芮,花蓮區營業處,富里,S,2024-11-01 10:26:00,2024-10-31 17:00:00
康芮,花蓮區營業處,初英,G,2024-10-31 14:29:00,2024-10-31 23:00:00
康芮,花蓮區營業處,溪口,G,2024-10-31 09:55:00,2024-10-31 17:00:00
康芮,花蓮區營業處,美崙,S,2024-10-31 14:50:00,2024-10-31 23:00:00
康芮,花蓮區營業處,花市,S,2024-10-31 13:28:00,2024-10-31 23:00:00
康芮,北南區營業處,烏來,S,2024-10-31 06:32:00,2024-10-31 23:00:00
康芮,北南區營業處,烏來,S,2024-10-31 09:22:00,2024-11-01 12:00:00
康芮,台中供電區處,九德,S,2024-11-01 00:17:00,2024-11-01 06:00:00
康芮,台中供電區處,九德,S,2024-11-01 12:17:00,2024-11-01 01:38:00
康芮,嘉南供電區處,台西,D,2024-10-31 15:50:00,2024-10-31 23:00:00
凱米,高屏供電區處,楠梓,D,2024-07-24 10:35:00,2024-07-24 10:37:00
凱米,高屏供電區處,北嶺,D,2024-07-24 16:09:00,2024-07-24 16:09:00
凱米,高屏供電區處,楠梓,D,2024-07-24 10:35:00,2024-07-24 10:37:00
凱米,高屏供電區處,經貿,D,2024-07-24 16:21:00,2024-07-24 16:21:00
小犬,台東區營業處,蘭嶼,S,2023-10-04 20:38:58,2023-10-04 20:38:58
小犬,台東區營業處,蘭嶼,S,2023-10-04 20:39:00,2023-10-04 23:00:00
小犬,台東區營業處,蘭嶼,S,2023-10-04 20:48:58,2023-10-04 20:48:58
小犬,台東區營業處,蘭嶼,S,2023-10-05 05:26:00,2023-10-04 23:00:00
小犬,苗栗區營業處,錦水,S,2023-10-04 22:54:00,2023-10-04 23:00:00
小犬,苗栗區營業處,錦水,S,2023-10-05 07:06:00,2023-10-04 23:00:00
小犬,苗栗區營業處,錦水,S,2023-10-05 08:05:00,2023-10-04 23:00:00
小犬,嘉南供電區處,雲高,C,2023-10-05 21:13:00,2023-10-05 21:18:00
